   1.69057,  22.90793,   0.43640
   1.31356,  33.21867,   0.55020
   1.14257,  37.60742,   0.52120
   1.03903,  40.25831,   0.59530
   0.98293,  41.52686,   0.62540
   0.92980,  42.79668,   0.61180
   0.89028,  43.75447,   0.64740
   0.85612,  44.56138,   0.67420
   0.80744,  45.74169,   0.69180
   0.77573,  46.69310,   0.69270
   0.74795,  47.31202,   0.67060
   0.71973,  47.76087,   0.72410
   0.69631,  48.51918,   0.73210
   0.67306,  49.01918,   0.73730
   0.65502,  49.49361,   0.73960
   0.64337,  49.76854,   0.71890
   0.63248,  49.91177,   0.73700
   0.61980,  50.08952,   0.72610
   0.60390,  50.76215,   0.78010
   0.59482,  50.71611,   0.77930
   0.58917,  50.90793,   0.76730
   0.57854,  51.07289,   0.77100
   0.57141,  51.37980,   0.70500
   0.56275,  51.54604,   0.77370
   0.56136,  51.51535,   0.76100
   0.55935,  51.51406,   0.76960
   0.54158,  52.06010,   0.76330
   0.54175,  51.94757,   0.77250
   0.54389,  51.92711,   0.79820
   0.52860,  52.24936,   0.78680
   0.52490,  52.37468,   0.76400
   0.52285,  52.38491,   0.77010
   0.52365,  52.48465,   0.67070
   0.52022,  52.55627,   0.79700
   0.51821,  52.47059,   0.79010
   0.36554,  55.96547,   0.86720
   0.32584,  56.85678,   0.87440
   0.31358,  57.05754,   0.87760
   0.30180,  57.27749,   0.88200
   0.29211,  57.52557,   0.88270
   0.29006,  57.57417,   0.87690
   0.28162,  57.73913,   0.87980
   0.27784,  57.79795,   0.88270
   0.27377,  57.96547,   0.88540
   0.26616,  58.05371,   0.88660
   0.26355,  58.14706,   0.88500
   0.26004,  58.18926,   0.88730
   0.25984,  58.15985,   0.88590
   0.25284,  58.29923,   0.88870
   0.25036,  58.35294,   0.88550
   0.24828,  58.47059,   0.88390
   0.24484,  58.50512,   0.88480
   0.24240,  58.52302,   0.88660
   0.23916,  58.62915,   0.88320
   0.23653,  58.64962,   0.88560
   0.23517,  58.64322,   0.88440
   0.23091,  58.78389,   0.88180
   0.23374,  58.66880,   0.88510
   0.22908,  58.84271,   0.88640
   0.22704,  58.84783,   0.87970
   0.22603,  58.91944,   0.88650
   0.22524,  58.87085,   0.88850
   0.22448,  58.91048,   0.88530
   0.22529,  58.86317,   0.88600
   0.21885,  59.05115,   0.88490
   0.21386,  59.15857,   0.89110
   0.21548,  59.11509,   0.87980
   0.21102,  59.29923,   0.89000
   0.21145,  59.20332,   0.88530
   0.21479,  59.18926,   0.88470
   0.89110,   0.00000,   0.00000
